Kategori: Alle kategorier

Måned,bitcoins: (USA)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,<1
2010-05,0
2010-06,0
2010-07,<1
2010-08,<1
2010-09,0
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,1
2011-04,1
2011-05,5
2011-06,18
2011-07,6
2011-08,5
2011-09,3
2011-10,3
2011-11,3
2011-12,3
2012-01,4
2012-02,3
2012-03,3
2012-04,3
2012-05,3
2012-06,3
2012-07,5
2012-08,4
2012-09,7
2012-10,4
2012-11,5
2012-12,6
2013-01,8
2013-02,9
2013-03,25
2013-04,54
2013-05,20
2013-06,14
2013-07,15
2013-08,14
2013-09,11
2013-10,25
2013-11,64
2013-12,72
2014-01,45
2014-02,40
2014-03,30
2014-04,17
2014-05,15
2014-06,15
2014-07,13
2014-08,11
2014-09,10
2014-10,10
2014-11,10
2014-12,11
2015-01,11
2015-02,12
2015-03,10
2015-04,8
2015-05,9
2015-06,11
2015-07,10
2015-08,10
2015-09,10
2015-10,11
2015-11,12
2015-12,12
2016-01,10
2016-02,12
2016-03,10
2016-04,9
2016-05,11
2016-06,11
2016-07,10
2016-08,10
2016-09,11
2016-10,10
2016-11,10
2016-12,12
2017-01,14
2017-02,13
2017-03,14
2017-04,14
2017-05,28
2017-06,24
2017-07,18
2017-08,24
2017-09,21
2017-10,23
2017-11,45
2017-12,100
2018-01,37
2018-02,18
2018-03,12
2018-04,9
2018-05,8
2018-06,8
2018-07,7
2018-08,6
2018-09,6
2018-10,6
2018-11,6
2018-12,6
2019-01,5
2019-02,5
2019-03,5
2019-04,6
2019-05,7
2019-06,7
2019-07,6
2019-08,5
2019-09,5
2019-10,5
2019-11,5
2019-12,6
